Id_slike;Id_slikarja;Linki
4950;646;http://www.wga.hu/html/b/burgkmai/zemperor.html
21282;2589;http://www.wga.hu/html/m/master/honore/somme.html
7478;990;http://www.wga.hu/html/c/cortona/1/09barber.html
2673;361;http://www.wga.hu/html/b/bernini/gianlore/sculptur/1650/4rivers1.html
304;57;http://www.wga.hu/html/a/altdorfe/1/7lot_dau.html
7908;1041;http://www.wga.hu/html/c/cranach/lucas_e/04/17religi.html
11284;1413;http://www.wga.hu/html/f/fischere/pavilio1.html
10720;1313;http://www.wga.hu/html/e/erhart/gregor/vanitas.html
13356;1649;http://www.wga.hu/html/g/giotto/padova/3christ/chris103.html
28325;3405;http://www.wga.hu/html/r/raphael/5roma/1/051portr.html
38747;4511;http://www.wga.hu/html/w/wijntrac/geesduck.html
17783;2096;http://www.wga.hu/html/j/juan/1/lazarus1.html
17565;2048;http://www.wga.hu/html/j/jacopo/cione/1/3r3_pinn.html
16895;1949;http://www.wga.hu/html/h/hogarth/painter.html
1084;127;http://www.wga.hu/html/a/arcimbol/5nature/042_009.html
36590;4236;http://www.wga.hu/html/zzdeco/5ceramic/delft/1d_14til.html
4094;559;http://www.wga.hu/html/b/bramante/zspiral.html
23226;2818;http://www.wga.hu/html/zgothic/miniatur/1351-400/3other/13_1351.html
34189;4085;http://www.wga.hu/html/t/tintoret/3_1560s/2cana2.html
13176;1649;http://www.wga.hu/html/g/giotto/assisi/lower/ceiling/00ceili4.html
1297;145;http://www.wga.hu/html/a/assereto/mockingjo.html
27069;3278;http://www.wga.hu/html/p/pisano1/andrea/south_d/1south_0.html
4297;595;http://www.wga.hu/html/b/brocky/01brocky.html
19454;2370;http://www.wga.hu/html/l/lippi/filippo/1450pr/23herod1.html
35063;4146;http://www.wga.hu/html/t/troy/francois/portrai1.html
32466;3863;http://www.wga.hu/html/s/simone/7last/orsini/6orsini.html
12608;1609;http://www.wga.hu/html/g/gherardk/wisdom.html
21837;2703;http://www.wga.hu/html/m/mayer/venus_cu.html
4157;569;http://www.wga.hu/html/b/bray/jan/castele2.html
1070;127;http://www.wga.hu/html/a/arcimbol/4composi/1vertum1.html
31554;3721;http://www.wga.hu/html/s/santi/christ.html
24085;2828;http://www.wga.hu/html/zgothic/miniatur/1451-500/3flemis4/26flemis.html
31778;3761;http://www.wga.hu/html/s/schaufel/circumci.html
7424;985;http://www.wga.hu/html/c/correggi/madonna/basket.html
28359;3405;http://www.wga.hu/html/r/raphael/5roma/3/01castig.html
36940;4301;http://www.wga.hu/html/v/veen/z_emblem.html
5232;711;http://www.wga.hu/html/c/canalett/4/canal402.html
13108;1644;http://www.wga.hu/html/g/giordano/4/certosa1.html
16484;1861;http://www.wga.hu/html/h/hanneman/self_por.html
20701;2511;http://www.wga.hu/html/m/mantegna/07/2sposi07.html
1773;232;http://www.wga.hu/html/b/bartolom/gatta/z_arezzo.html
30420;3581;http://www.wga.hu/html/zgothic/1romanes/po-13c/2s1_1201.html
14918;1727;http://www.wga.hu/html/zgothic/gothic/6/06g_1500.html
35649;4205;http://www.wga.hu/html/zzdeco/1gold/17c/06h_1650.html
34754;4099;http://www.wga.hu/html/t/toeput/2summer.html
13013;1630;http://www.wga.hu/html/g/gijsbrec/cornelis/trompe.html
32893;3927;http://www.wga.hu/html/s/spinello/spinello/twelve/manett11.html
