Ime,Obdobje,Narodnost,Smer,Kraj 
"SPAVENTO, Giorgio",High Renaissance,Italian,architect,Venice
"WATTEAU, Louis-Joseph",Rococo,French,painter,Paris
"KIESLING, Leopold",Neoclassicism,Austrian,sculptor,
"CLEVE, Hendrick van III",Mannerism,Flemish,painter,Antwerp
"CATI DA IESI, Pasquale",Mannerism,Italian,painter,Rome
"GARGIULO, Domenico",Baroque,Italian,painter,Naples
"FLINCK, Govert Teunisz.",Baroque,Dutch,painter,Amsterdam
"SPELT, Adrian van der",Baroque,Dutch,painter,
"LETHIÈRE, Guillaume",Neoclassicism,French,painter,
"BORSOS, József",Romanticism,Hungarian,painter,
"RAYSKI, Ferdinand von",Romanticism,German,painter,
"NIEULANDT, Adriaen van, the Younger",Baroque,Flemish,painter,Antwerp
"MARINALI, Orazio",Baroque,Italian,sculptor,
"NOVELLI, Pietro",Baroque,Italian,painter,Sicily
"DESBOUTIN, Marcellin",Impressionism,French,painter,
"ESTEVE Y MARQUES, Agustín",Neoclassicism,Spanish,painter,Madrid
"VOORT, Michiel van der, the Elder",Baroque,Flemish,sculptor,Antwerp
"UNKNOWN MASTERS, Austrian",Medieval,Austrian,painter,
"WALSCAPELLE, Jacob van",Baroque,Dutch,painter,
"GALEOTTI, Pietro Paolo",Mannerism,Italian,sculptor,Florence
"CRESPI, Luigi",Rococo,Italian,painter,Bologna
LORENZO DI NICCOLÒ DI MARTINO,Early Renaissance,Italian,painter,Florence
"VERHAECHT, Tobias",Baroque,Flemish,painter,
"BOURSSE, Esaias",Baroque,Dutch,painter,Amsterdam
"COTELLE, Jean II",Baroque,French,painter,
"COLOMBE, Jean",Northern Renaissance,French,illuminator,Bourges
"SALIMBENI, Ventura",Baroque,Italian,painter,Siena
"STRÉSOR, Henri",Baroque,French,painter,Paris
"LOTZ, Károly",Romanticism,Hungarian,painter,Budapest
"MOREELSE, Paulus",Baroque,Dutch,painter,Utrecht
"VITI, Timoteo",High Renaissance,Italian,painter,Urbino
MASTER of Saint Cecilia,Medieval,Italian,painter,Florence
"BREU, Jörg the Elder",Northern Renaissance,German,painter,Augsburg
"CARON, Antoine",Mannerism,French,painter,
CLAUDE LORRAIN,Baroque,French,painter,Rome
"SILOE, Gil de",Early Renaissance,Spanish,sculptor,Burgos
"BENING, Simon",Northern Renaissance,Flemish,illuminator,
"MORONI, Giovanni Battista",Mannerism,Italian,painter,Bergamo
"SIMONE CAMALDOLESE, Don",Medieval,Italian,illuminator,Florence
"FRAGONARD, Alexandre-Évariste",Neoclassicism,French,painter,
"RAGGI, Nicolas-Bernard",Romanticism,Italian,sculptor,
"USSI, Stefano",Realism,Italian,painter,Florence
"WESTERHOLM, Victor Axel",Impressionism,Finnish,painter,
"BOUGH, Samuel",Realism,English,painter,Edinburgh
"MASSYS, Quentin",Northern Renaissance,Flemish,painter,Antwerp
"STRANOVER, Tobias",Baroque,Other,painter,London
"BENOIST, Marie-Guillemine",Romanticism,French,painter,Paris
"BARBARI, Jacopo de'",High Renaissance,Italian,painter,Venice
"HUILLIOT, Pierre Nicolas",Baroque,French,painter,Paris
"LEERMANS, Pieter",Baroque,Dutch,painter,Leiden
"LECOMTE, Hippolyte",Romanticism,French,painter,Paris
"PÉCHEUX, Laurent",Rococo,French,painter,Turin
"WTEWAEL, Joachim",Baroque,Dutch,painter,Utrecht
"SERLIO, Sebastiano",High Renaissance,Italian,architect,
"FABRIS, Michele",Baroque,Hungarian,sculptor,Venice
"COECKE VAN AELST, Pieter",Northern Renaissance,Flemish,painter,Brussels
"MOOR, Carel de II",Baroque,Dutch,painter,
"MARTSZEN, Jan the Younger",Baroque,Dutch,painter,Haarlem
"OEHME, Ernst Ferdinand",Romanticism,German,painter,Dresden
GREGORIO DI CECCO,Early Renaissance,Italian,painter,Siena
"RUTHART, Carl Borromäus Andreas",Baroque,German,painter,
"ANDREOLI, Giorgio",High Renaissance,Italian,potter,Gubbio
"RUXTHIEL, Henri-Joseph",Neoclassicism,French,sculptor,
"TARUFFI, Emilio",Baroque,Italian,painter,Bologna
"CORNIOLE, Giovanni delle",High Renaissance,Italian,sculptor,Florence
"MONTORSOLI, Giovanni Angelo",High Renaissance,Italian,sculptor,Florence
"PITTONI, Giambattista",Baroque,Italian,painter,Venice
"GERHARD, Hubert",Mannerism,German,sculptor,
"BREDAEL, Jan Frans van",Baroque,Flemish,painter,Antwerp
"FALCONETTO, Giovanni Maria",High Renaissance,Italian,painter,Verona
"TIEPOLO, Giovanni Domenico",Rococo,Italian,painter,Venice
"THOMAS, Jan",Baroque,Flemish,painter,Vienna
"PISANO, Nicola",Medieval,Italian,sculptor,Pisa
"SEGHERS, Hercules",Baroque,Dutch,painter,Amsterdam
"REINHOLD, Heinrich",Romanticism,German,painter,
MASACCIO,Early Renaissance,Italian,painter,Florence
POLIDORO DA CARAVAGGIO,High Renaissance,Italian,painter,Rome
"SOMER, Hendrick van",Baroque,Dutch,painter,Naples
"EKELS, Jan II",Rococo,Dutch,painter,Amsterdam
"PERUZZI, Baldassare",High Renaissance,Italian,architect,Rome
"EBERLEIN, Johann Friedrich",Rococo,German,sculptor,Meissen
"DIAZ DE LA PEÑA, Narcisse Virgile",Realism,French,painter,Barbizon
"TEMANZA, Tommaso",Rococo,Italian,architect,Venice
"LOIR, Luigi",Realism,French,painter,Paris
"CANO, Alonso",Baroque,Spanish,painter,
"MENGOZZI COLONNA, Girolamo",Rococo,Italian,painter,Venice
"LUTMA, Johannes the Elder",Baroque,Dutch,goldsmith,Amsterdam
"WOOLNER, Thomas",Romanticism,English,sculptor,London
"BANTI, Cristiano",Realism,Italian,painter,
"KRUG, Hans I",Northern Renaissance,German,goldsmith,Nuremberg
"JONGHE, Gustave Léonard de",Realism,Belgian,painter,Paris
"FRAGONARD, Jean-Honoré",Rococo,French,painter,Paris
"ROMBOUTS, Salomon",Baroque,Dutch,painter,Haarlem
"FOCCHI, Ferdinando",Baroque,Italian,painter,Bologna
"ROOS, Johann Heinrich",Baroque,German,painter,
"VERBRUGGEN, Hendrick Frans",Baroque,Flemish,sculptor,Antwerp
"ROBUSTI, Domenico",Mannerism,Italian,painter,Venice
"BEACH, Thomas",Rococo,English,painter,Bath
"TARGONE, Cesare",Mannerism,Italian,goldsmith,
"MAESTRI, Michelangelo",Rococo,Italian,painter,Rome
PASQUALINO VENETO,Early Renaissance,Italian,painter,Venice
"ELSEVIER, Louys Aernoutsz",Baroque,Dutch,painter,Delft
"GHERARDI, Filippo",Baroque,Italian,painter,Venice
NICCOLÒ DA BOLOGNA,Medieval,Italian,illuminator,Bologna
"LEBARBIER, Jean-Jacques-François",Neoclassicism,French,painter,Paris
"FRANÇOIS, Guy",Baroque,French,painter,Le Puy
"CHINARD, Joseph",Neoclassicism,French,sculptor,
"FINOGLIA, Paolo Domenico",Mannerism,Italian,painter,Naples
"MARINARI, Onorio",Baroque,Italian,painter,Florence
"PUGET, Pierre",Baroque,French,sculptor,
"MINIO, Tiziano",High Renaissance,Italian,sculptor,
"BROWN, Ford Madox",Romanticism,English,painter,
"THULDEN, Theodor van",Baroque,Flemish,painter,Antwerp
"VERWER, Justus de",Baroque,Dutch,painter,Amsterdam
"STEENWIJCK, Pieter",Baroque,Dutch,painter,Delft
"DUMONT, Augustin-Alexandre",Romanticism,French,sculptor,
"GHERARDI, Cristofano",Mannerism,Italian,painter,
"BASSETTI, Marcantonio",Baroque,Italian,painter,Verona
"GROET, Adriaen de",Mannerism,Netherlandish,goldsmith,
"TEMPESTA, Antonio",Baroque,Italian,painter,Florence
"CAMETTI, Bernardino",Baroque,Italian,sculptor,Rome
"KEYSER, Hendrick de",Baroque,Dutch,sculptor,Amsterdam
"MIERIS, Jan van",Baroque,Dutch,painter,
"BOTH, Andries",Baroque,Dutch,painter,Rome
"LIEVENS, Jan",Baroque,Dutch,painter,Amsterdam
"SFERINI, Carlo Leopoldo",Baroque,Italian,painter,Verona
"NOLLEKENS, Joseph Francis",Rococo,Flemish,painter,London
"VINEA, Francesco",Realism,Italian,painter,Florence
"MARIN, Joseph Charles",Rococo,French,sculptor,
"CALIARI, Benedetto",Mannerism,Italian,painter,Venice
"FREDIANI, Vincenzo di Antonio",Early Renaissance,Italian,painter,Lucca
"HERRING, John Frederick the Elder",Romanticism,English,painter,
"BARRET, George",Rococo,Irish,painter,
"VANDERLYN, John",Romanticism,American,painter,
"MANET, Edouard",Impressionism,French,painter,Paris
"HORENBOUT, Lucas",Northern Renaissance,Flemish,miniaturist,London
"MOSTAERT, Jan",Northern Renaissance,Dutch,painter,Haarlem
"SAGRESTANI, Giovanni Camillo",Baroque,Italian,painter,Florence
"RUSCHI, Francesco",Baroque,Italian,painter,Venice
"BONVICINO, Ambrogio",Mannerism,Italian,sculptor,Rome
BAMBAIA,High Renaissance,Italian,sculptor,Milan
"LOO, Louis Michel van",Baroque,French,painter,
"WERNER, Joseph the Younger",Baroque,Swiss,painter,
GRIFO DI TANCREDI,Medieval,Italian,painter,Florence
"PALAMEDESZ., Palamedes",Baroque,Dutch,painter,Delft
"MILDORFER, Joseph Ignaz",Rococo,Austrian,painter,
FRANCESCO DA SANT'AGATA,High Renaissance,Italian,sculptor,Padua
MELIORE,Medieval,Italian,painter,Florence
"CASTILLO, Antonio del",Baroque,Spanish,painter,Cordoba
"BIMBI, Bartolomeo",Baroque,Italian,painter,Florence
"HONE, Nathaniel the Elder",Rococo,Irish,painter,London
"FROMANTIOU, Hendrick de",Baroque,Dutch,painter,
"ENSOR, James",Impressionism,Belgian,painter,Ostend
"MIJ, Hieronymus van der",Baroque,Dutch,painter,Leiden
"LA THANGUE, Henry Herbert",Impressionism,English,painter,
"SIGNORELLI, Francesco",High Renaissance,Italian,painter,Cortona
"GRASSI, Nicola",Baroque,Italian,painter,Venice
MASTER of the Story of Griselda,Early Renaissance,Italian,painter,Siena
GIULIO ROMANO,Mannerism,Italian,painter,Rome
"FISCHER, Josef Vinzenz",Neoclassicism,Austrian,painter,
"ANTIGNA, Alexandre",Romanticism,French,painter,Paris
"MARKÓ, Károly the Elder",Romanticism,Hungarian,painter,
"MEDNYÁNSZKY, László",Realism,Hungarian,painter,
"STARR, Sidney",Impressionism,English,painter,New York
"IRIARTE, Ignacio de",Baroque,Spanish,painter,Seville
"HUNT, William Holman",Romanticism,English,painter,
"SIGNAC, Paul",Impressionism,French,painter,Paris
"PIAZZETTA, Giovanni Battista",Baroque,Italian,painter,Venice
"SCOREL, Jan van",Northern Renaissance,Dutch,painter,
"WET, Gerrit de",Baroque,Dutch,painter,Amsterdam
"GAMBARA, Lattanzio",Mannerism,Italian,painter,Brescia
"LEVY, Vaclav",Romanticism,Bohemian,sculptor,
"ABBATINI, Guido Ubaldo",Baroque,Italian,painter,Rome
"BLOCK, Benjamin",Baroque,German,painter,
"DAWE, George",Romanticism,English,painter,St. Petersburg
"KNIP, Mattheus Derk",Romanticism,Dutch,painter,
"ALTOBELLO, Francesco Antonio",Baroque,Italian,painter,Naples
"LLANOS, Fernando",High Renaissance,Spanish,painter,Valencia
"EARL, Ralph",Rococo,American,painter,
"MEDARD, Jules-Ferdinand",Realism,French,painter,
"CONINXLOO, Gillis van",Mannerism,Flemish,painter,
"BARTOLINI, Lorenzo",Neoclassicism,Italian,sculptor,
"PROVOST, Jan",Northern Renaissance,Flemish,painter,Bruges
"KNELLER, Sir Godfrey",Baroque,English,painter,
"FEARNLEY, Thomas",Romanticism,Norwegian,painter,
"BOURDELLE, Émile-Antoine",Realism,French,sculptor,Paris
"LEMONNIER, Anicet-Charles-Gabriel",Neoclassicism,French,painter,
"SWOBODA, Rudolph Der G.",Realism,Austrian,painter,
"CURRADI, Francesco",Baroque,Italian,painter,
"BARTOLOMEO, Fra",High Renaissance,Italian,painter,
ORTOLANO,High Renaissance,Italian,painter,Ferrara
"LOMBARDI, Giovanni Domenico",Baroque,Italian,painter,Lucca
"GASSEL, Lucas",Mannerism,Flemish,painter,Brussels
"FRANCKEN, Frans III",Baroque,Flemish,painter,Antwerp
"LIMOSIN, Jean",High Renaissance,French,miniaturist,Limoges
"BUTTERI, Giovanni Maria",Mannerism,Italian,painter,Florence
"POILLY, François de",Baroque,French,painter,Paris
"ELIAERTS, Jan Frans",Rococo,Belgian,painter,Antwerp
"MEISSONIER, Jean-Louis-Ernest",Romanticism,French,painter,
"FISCHBACH, Johann",Romanticism,German,painter,
"SONNENSCHEIN, Johann Valentin",Rococo,German,sculptor,
"CHARPENTIER, Jean-Baptiste the Elder",Rococo,French,painter,Paris
PSEUDO-PIER FRANCESCO FIORENTINO,Early Renaissance,Italian,painter,Florence
"BERNARDI, Giuseppe",Rococo,Italian,sculptor,Venice
"DANDINI, Pietro",Baroque,Italian,painter,Florence
"GRUBACS, Carlo",Romanticism,Italian,painter,Venice
SCHEGGIA,Early Renaissance,Italian,painter,Florence
"MONTAÑES, Juan Martinez",Baroque,Spanish,sculptor,
"PHILLIPS, Thomas",Romanticism,English,painter,
"FERNÁNDEZ, Gregorio",Baroque,Spanish,sculptor,Valladolid
"METCALF, Willard Leroy",Impressionism,American,painter,
"SUBLEYRAS, Pierre",Baroque,French,painter,
"LUCE, Maximilien",Impressionism,French,painter,Paris
"FRANCÉS, Nicolás",Early Renaissance,Spanish,painter,León
"MARREL, Jacob",Baroque,German,painter,Frankfurt
"BERGHE, Charles-Auguste van den",Romanticism,French,painter,Paris
"TESTA, Pietro",Baroque,Italian,painter,Rome
"BREA, Louis",Early Renaissance,Italian,painter,Nice
"FONTANA, Prospero",Mannerism,Italian,painter,Bologna
"MIERIS, Willem van",Baroque,Dutch,painter,Leiden
"BISON, Giuseppe Bernardino",Romanticism,Italian,painter,Venice
"MARTIN, Jean-Baptiste",Baroque,French,painter,Paris
BACICCIO,Baroque,Italian,painter,Rome
"GHERARDUCCI, Don Silvestro dei",Medieval,Italian,illuminator,Florence
"SUSENIER, Abraham",Baroque,Dutch,painter,Dordrecht
"CROSATO, Giovanni Battista",Rococo,Italian,painter,Venice
"COZZI, Marco di Giampietro",Early Renaissance,Italian,sculptor,Venice
"GENGA, Girolamo",High Renaissance,Italian,painter,
ANTICO,Early Renaissance,Italian,sculptor,Mantua
"LANCRET, Nicolas",Baroque,French,painter,
"ADAM, Albrecht",Romanticism,German,painter,Munich
ROBINSON. Theodore,Impressionism,American,painter,
"ESQUIVEL Y SUÁREZ DE URBINA, Antonio Maria",Neoclassicism,Spanish,painter,
"LE ROUX, Roullant",Early Renaissance,French,architect,Rouen
"MISERONI, Gasparo",Mannerism,Italian,sculptor,
"OLIVIER, Ferdinand",Romanticism,German,painter,
"REINHART, Johann Christian",Romanticism,German,painter,
"CLAUDEL, Camille",Impressionism,French,sculptor,Paris
"HERRING, John Frederick the Younger",Realism,English,painter,London
"GOES, Hugo van der",Northern Renaissance,Flemish,painter,Ghent
"NAIVEU, Matthijs",Baroque,Dutch,painter,Leiden
"PACHECO, Francisco",Baroque,Spanish,painter,Seville
"DELAVALLÉE, Henri",Impressionism,French,painter,Pont Aven
"UNKNOWN MASTERS, Italian",Medieval,Italian,sculptor,
"RICCIARDO DI NANNI, Ser",Early Renaissance,Italian,illuminator,Florence
"STOM, Matthias",Baroque,Dutch,painter,
"BOITO, Camillo",Realism,Italian,architect,
"VÁZQUEZ, Alonso",Mannerism,Spanish,painter,Seville
"PETITJEAN, Hippolyte",Impressionism,French,painter,
"ASSELYN, Jan",Baroque,Dutch,painter,
"BEAUFORT, Jacques-Antoine",Neoclassicism,French,painter,
"STUBBS, George",Rococo,English,painter,
"BUGIARDINI, Giuliano",High Renaissance,Italian,painter,Florence
"TELEPY, Károly",Romanticism,Hungarian,painter,
"KOZLOVSKY, Mikhail Ivanovich",Neoclassicism,Russian,sculptor,St. Petersburg
"VADDER, Lodewijk de",Baroque,Flemish,painter,Brussels
"HUYS, Pieter",Mannerism,Flemish,painter,Antwerp
"SCHEDONI, Bartolomeo",Baroque,Italian,painter,Parma
"MEISSONNIER, Juste-Aurèle",Rococo,French,goldsmith,Paris
"VALLAYER-COSTER, Anne",Rococo,French,painter,Paris
JACOPO DI CIONE,Medieval,Italian,painter,Florence
"SAUVAGE, Piat-Joseph",Rococo,Flemish,painter,Paris
"GIMENO ARASA, Francisco",Impressionism,Catalan,painter,
"ROLLI, Gioseffo Maria",Baroque,Italian,painter,Bologna
ANDREA DI BARTOLO,Early Renaissance,Italian,painter,Siena
"NIGG, Joseph",Romanticism,Austrian,painter,Vienna
ANTONIO DA CREVALCORE,Early Renaissance,Italian,painter,Bologna
"ROMANINO, Girolamo",High Renaissance,Italian,painter,Brescia
"CUYP, Aelbert",Baroque,Dutch,painter,Dordrecht
GIOVANNI D'AMBROGIO,Medieval,Italian,sculptor,Florence
MASTER of the Lyversberg Passion,Northern Renaissance,German,painter,Cologne
"SALVIATI, Giuseppe",Mannerism,Italian,painter,Venice
"SAFTLEVEN, Herman",Baroque,Dutch,painter,Rotterdam
"RIJCKHALS, Frans",Baroque,Dutch,painter,Middelburg
"PANKIEWICZ, Józef",Impressionism,Polish,painter,
"SIBERECHTS, Jan",Baroque,Flemish,painter,England
MASTER of Marradi,Early Renaissance,Italian,painter,Tuscany
"FABISCH, Joseph-Hugues",Romanticism,French,sculptor,Lyon
"CAFFIÉRI, Philippe",Rococo,French,goldsmith,
MASTER of 1310,Medieval,Italian,painter,Pistoia
"BEAUMONT, Claudio Francesco",Rococo,Italian,painter,Turin
"BOGDÁNY, Jakab",Baroque,Hungarian,painter,London
APOLLONIO DI GIOVANNI,Early Renaissance,Italian,painter,Florence
"HENSTENBURGH, Herman",Baroque,Dutch,painter,Hoorn
"DUNOUY,  Alexandre Hyacinthe",Realism,French,painter,Paris
"BREEN, Adam van",Baroque,Dutch,painter,Norway
"VERTANGEN, Daniel",Baroque,Dutch,painter,Amsterdam
"ELSÄSSER, Sigmund",Mannerism,Austrian,painter,
"FEDDES, Pieter",Baroque,Dutch,painter,
"LE SUEUR, Eustache",Baroque,French,painter,
"TINTORE, Simone del",Baroque,Italian,painter,Lucca
"FACCHETTI, Pietro",Mannerism,Italian,painter,Rome
"FERNÁNDEZ, Pedro",High Renaissance,Spanish,painter,
"MARÉES, Hans von",Romanticism,German,painter,Italy
"LEU, Hans the Younger",High Renaissance,Swiss,painter,Zurich
"DADDI, Bernardo",Medieval,Italian,painter,Florence
"FINCH, Alfred William",Impressionism,Belgian,painter,Helsinki
"WALS, Goffredo",Northern Renaissance,German,painter,Italy
"SCHAFFNER, Martin",High Renaissance,German,painter,Ulm
"BOCKSBERGER, Hans the Elder",Mannerism,Austrian,painter,
"MEUCCI, Vincenzo",Rococo,Italian,painter,Florence
"PUGA, Antonio",Baroque,Spanish,painter,Madrid
"ROESEN, Hendrik",Northern Renaissance,Flemish,sculptor,Leuven
"CRIVELLI, Taddeo",Early Renaissance,Italian,illuminator,Ferrara
"SIGNORELLI, Luca",Early Renaissance,Italian,painter,Central Italy
"DAUCHER, Hans",Northern Renaissance,German,sculptor,
"COSSA, Francesco del",Early Renaissance,Italian,painter,Ferrara
"FLÉMAL, Bertholet",Baroque,Flemish,painter,Liège
"GOSSART, Jan",Northern Renaissance,Flemish,painter,
"CORMON, Fernand",Realism,French,painter,Paris
"GARNIER, Etienne-Barthélemy",Neoclassicism,French,painter,Paris
"GENNARI, Cesare",Baroque,Italian,painter,Bologna
"MAUPERCHÉ, Henri",Baroque,French,painter,Paris
"ZICHY, Mihály",Realism,Hungarian,painter,St. Petersburg
"FRACANZANO, Francesco",Mannerism,Italian,painter,Naples
"MIJTENS, Martin I",Baroque,Dutch,painter,Stockholm
"ROELAS, Juan de las",Baroque,Spanish,painter,Seville
"SCROTS, Guillaume",Northern Renaissance,Flemish,painter,England
"BARBARO, Daniele",Mannerism,Italian,architect,Venice
"CROPSEY, Jasper Francis",Realism,American,painter,
"QUEIROLO, Francesco",Baroque,Italian,sculptor,Naples
"CONTE, Jacopino del",Mannerism,Italian,painter,
"EERTVELT, Andries van",Baroque,Flemish,painter,
"ANGERMAYER, Johann Adalbert",Baroque,Bohemian,painter,Prague
"CLEVE, Cornelis van",Mannerism,Flemish,painter,Antwerp
MASTER of the Fontainebleau School,Mannerism,French,painter,Fontainebleau
"OOSTERWIJK, Maria van",Baroque,Dutch,painter,
"DOSIO, Giovanni Antonio",Mannerism,Italian,architect,
PIETRO DI DOMENICO DA SIENA,Early Renaissance,Italian,painter,Siena
"PENCZ, Georg",Northern Renaissance,German,painter,Nuremberg
"BERTIN, Nicolas",Baroque,French,painter,Paris
"DE CORTE, Josse",Baroque,Flemish,sculptor,Venice
MARIOTTO DI NARDO,Medieval,Italian,painter,Florence
"WEENIX, Jan",Baroque,Dutch,painter,Amsterdam
"FASOLO, Bernardino",High Renaissance,Italian,painter,Genoa
"SCHWANTHALER, Ludwig",Romanticism,German,sculptor,Munich
"DESHAYS, Jean-Baptiste",Baroque,French,painter,Paris
"MADARÁSZ, Viktor",Romanticism,Hungarian,painter,
"QUELLINUS, Artus II",Baroque,Flemish,sculptor,Antwerp
"FALCONE, Aniello",Baroque,Italian,painter,Naples
"VERELST, Pieter Harmensz.",Baroque,Dutch,painter,
DOMENICO DI BARTOLO,Early Renaissance,Italian,painter,Siena
"SANCHEZ COTÁN, Juan",Baroque,Spanish,painter,
"WEISGERBER, Albert",Impressionism,German,painter,Munich
"HILLIARD, Nicholas",Mannerism,English,miniaturist,
"PATCH, Thomas",Rococo,English,painter,Florence
"CIGNANI, Carlo",Baroque,Italian,painter,Bologna
MASTER of the Votive Picture of Sankt Lambrecht,Northern Renaissance,Austrian,painter,
"LAURI, Filippo",Baroque,Italian,painter,Rome
"MORALES, Luis de",Mannerism,Spanish,painter,
"HOET, Gerard I",Baroque,Dutch,painter,Utrecht
"AZEGLIO, Massimo Taparelli, Marquis d'",Romanticism,Italian,painter,Turin
ANTONIO DA FIRENZE,Early Renaissance,Italian,painter,Florence
"GHIBERTI, Lorenzo",Early Renaissance,Italian,sculptor,Florence
"MOLENAER, Klaes",Baroque,Dutch,painter,Haarlem
"PÉREZ, Bartolomé",Baroque,Spanish,painter,Madrid
"SAVERY, Jacob I",Mannerism,Flemish,painter,Amsterdam
GIOVANNI DI FRANCESCO DEL CERVELLIERA,Early Renaissance,Italian,painter,Florence
"DONNER, Georg Raphael",Baroque,Austrian,sculptor,
"RILEY, John",Baroque,English,painter,
"LEMOYNE, Jean-Baptiste I",Baroque,French,sculptor,Paris
"ROLAND DE LA PORTE, Henri-Horace",Neoclassicism,French,painter,Paris
"BUSSI, Santino",Rococo,Austrian,sculptor,
"CAMBIASO, Luca",Mannerism,Italian,painter,Genoa
"ROMEIJN, Willem",Baroque,Dutch,painter,Haarlem
"OS, Georgius van",Romanticism,Dutch,painter,Paris
"LOTH, Johann Karl",Baroque,German,painter,Italy
"SUSTRIS, Lambert",Mannerism,Dutch,painter,
"POT, Hendrick Gerritsz",Baroque,Dutch,painter,Haarlem
"GUARDI, Gianantonio",Rococo,Italian,painter,Venice
"LÓPEZ Y PIQUER, Luis",Romanticism,Spanish,painter,Valencia
"GRAFF, Anton",Rococo,German,painter,
"TIELIUS, Johannes",Baroque,Dutch,painter,London
"BELLINI, Jacopo",Early Renaissance,Italian,painter,Venice
"GRILL, Anthonie",Baroque,German,goldsmith,
"CAMPENY Y ESTANY, Damián",Neoclassicism,Spanish,sculptor,
"PONSONELLI, Giacomo Antonio",Baroque,Italian,sculptor,Genoa
"PALAGI, Pelagio",Neoclassicism,Italian,painter,
"LEPRINCE, Auguste-Xavier",Romanticism,French,painter,
"RYCKAERT, David II",Baroque,Flemish,painter,Antwerp
"VELDE, Adriaen van de",Baroque,Dutch,painter,Amsterdam
"LEUTZE, Emanuel Gottlieb",Romanticism,American,painter,
"MAURER, Hubert",Neoclassicism,Austrian,painter,Vienna
"HAAGEN, Joris Abrahamsz. van der",Baroque,Dutch,painter,The Hague
"CACCINI, Giovanni Battista",Mannerism,Italian,architect,
ROGER OF HELMARSHAUSEN,Medieval,German,goldsmith,Helmarshausen
"CAPELLI, Camillo di",Mannerism,Italian,painter,Mantua
TINO DI CAMAINO,Medieval,Italian,sculptor,
"BOTTALLA, Giovanni Maria",Baroque,Italian,painter,
"RATGEB, Jörg",Northern Renaissance,German,painter,Swabia
"VERWILT, François",Baroque,Dutch,painter,
"JUNI, Juan de",Mannerism,Spanish,sculptor,Valladolid
"GALLIARI, Bernardino",Rococo,Italian,painter,
"MARMION, Simon",Northern Renaissance,French,painter,
"BREGNO, Antonio",Early Renaissance,Italian,sculptor,
"HERREYNS, Willem",Rococo,Flemish,painter,Antwerp
"LONGHENA, Baldassare",Baroque,Italian,architect,Venice
"VOET, Jacob Ferdinand",Baroque,Flemish,painter,Rome
"STEVENS, Alfred",Realism,Belgian,painter,Paris
"CHANDLER, John Westbrooke",Rococo,Scottish,painter,
"ROKOTOV, Fyodor",Rococo,Russian,painter,
"MARTINCOURT, Étienne",Rococo,French,sculptor,Paris
"BREENBERGH, Bartholomeus",Baroque,Dutch,painter,Amsterdam
"SCIORINA, Lorenzo dello",Mannerism,Italian,painter,Florence
"CHARONTON, Enguerrand",Northern Renaissance,French,painter,Avignon
"LA FOSSE, Charles de",Baroque,French,painter,
"CAYOT, Claude-Augustin",Baroque,French,sculptor,Paris
"MAZO, Juan Bautista Martinez del",Baroque,Spanish,painter,Madrid
"URBANI, Andrea",Rococo,Italian,painter,
"LLANOS VALDÉS, Sebastián de",Baroque,Spanish,painter,Seville
"LEYDEN, Lucas van",Northern Renaissance,Netherlandish,painter,Leiden
"ANTHONISZ, Aert",Baroque,Dutch,painter,
"GUIDOBONO, Bartolomeo",Baroque,Italian,painter,
"BONITO, Giuseppe",Rococo,Italian,painter,Naples
"CLAEUW, Jacques de",Baroque,Dutch,painter,
"SEITER, Daniel",Baroque,Italian,painter,Turin
"BALZICO, Alfonso",Realism,Italian,sculptor,
MASTER of Monte Oliveto,Medieval,Italian,painter,Siena
MASTER of the Lille Adoration,Northern Renaissance,Flemish,painter,Antwerp
"PUCCINELLI, Angelo",Medieval,Italian,painter,Lucca
"HUET, Christophe",Rococo,French,painter,
"MARTIN, Pierre-Denis",Baroque,French,painter,Paris
"DUBUFE, Claude-Marie",Neoclassicism,French,painter,Paris
"ALESSI, Galeazzo",Mannerism,Italian,architect,Genoa
"BUONCONSIGLIO, Giovanni",Early Renaissance,Italian,painter,Venice
"QUERCIA, Priamo della",Early Renaissance,Italian,painter,Siena
MASTER of Avila,Early Renaissance,Spanish,painter,Avila
"SIRANI, Elisabetta",Baroque,Italian,painter,Bologna
"DEGEN, Endris II",Mannerism,German,goldsmith,Augsburg
"NOËL, Alexandre-Jean",Romanticism,French,painter,
"BERLINGHIERI, Bonaventura",Medieval,Italian,painter,Lucca
"RUSTICI, Giovanni Francesco",High Renaissance,Italian,sculptor,Florence
"HOECHLE, Johann Nepomuk",Neoclassicism,German,painter,
"MULIER, Pieter the Younger",Baroque,Dutch,painter,Italy
"MOMPER, Joos de",Baroque,Flemish,painter,Antwerp
"DEMUT-MALINOVSKY, Vasily Ivanovich",Neoclassicism,Russian,sculptor,St. Petersburg
"CLAESZ., Leendert",Baroque,Dutch,goldsmith,Amsterdam
"LUNDBERG, Gustaf",Baroque,Swedish,painter,
"TROYEN, Rombout van",Baroque,Dutch,painter,Amsterdam
"LALLEMANT, Georges",Baroque,French,painter,
"GUTSCHE, Jonas",Baroque,Dutch,goldsmith,The Hague
DEODATO DI ORLANDI,Medieval,Italian,painter,Lucca
"PETO, John Frederick",Realism,American,painter,Philadelphia
MICHELE DA VERONA,High Renaissance,Italian,painter,Verona
"WATTS, Frederick Waters",Realism,English,painter,London
"CONCA, Tommaso",Neoclassicism,Italian,painter,Rome
"RAGUENEAU, Abraham",Baroque,French,painter,
