Ime,Obdobje,Narodnost,Smer,Kraj
UGOLINO DI VIERI,Medieval,Italian,goldsmith,Siena
"RÉMOND, Jean-Charles-Joseph",Neoclassicism,French,painter,
ARNOLFO DI CAMBIO,Medieval,Italian,sculptor,
"PRUD'HON, Pierre-Paul",Romanticism,French,painter,
"FAGAN, Robert",Rococo,Irish,painter,Rome
"VIVARINI, Alvise",Early Renaissance,Italian,painter,Venice
"CAILLEBOTTE, Gustave",Impressionism,French,painter,Paris
"FRANCKEN, Frans II",Baroque,Flemish,painter,Antwerp
"BACKER, Jacob Adriaensz.",Baroque,Dutch,painter,Amsterdam
"COYPEL, Noel-Nicolas",Baroque,French,painter,
"SYRLIN, Jörg the Elder",Northern Renaissance,German,sculptor,Ulm
"BERTOIA, Jacopo",Mannerism,Italian,painter,Parma
"RUSIÑOL Y PRATS, Santiago",Impressionism,Catalan,painter,
"BARONZIO, Giovanni",Medieval,Italian,painter,Rimini
"SANVITO, Bartolomeo",Early Renaissance,Italian,illuminator,Rome
"SANCHEZ COELLO, Alonso",Mannerism,Spanish,painter,
"LA TOUR, Georges de",Baroque,French,painter,
"ADOLPHI, Christoffel",Baroque,Dutch,sculptor,Amsterdam
"MAITLAND, Paul",Impressionism,English,painter,London
WILIGELMO,Medieval,Italian,sculptor,Modena
"LINARD, Jacques",Baroque,French,painter,
LORENZO DI ALESSANDRO DA SANSEVERINO,Early Renaissance,Italian,painter,Marches
"HABERLE, John",Impressionism,American,painter,New Haven
"FRANCAVILLA, Pietro",Mannerism,Italian,sculptor,
MASTER of Pratovecchio,Early Renaissance,Italian,painter,Florence
"CAVAROZZI, Bartolomeo",Baroque,Italian,painter,Rome
"MIGLIARA, Giovanni",Romanticism,Italian,painter,Milan
BICCI DI NERI,Early Renaissance,Italian,painter,Florence
"PEDON, Bartolomeo",Rococo,Italian,painter,Venice
"GALLEGO, Fernando",Early Renaissance,Spanish,painter,
"BARTHOLOMÉ, Albert",Realism,French,sculptor,Paris
"TORRITI, Jacopo",Medieval,Italian,painter,Rome
"HOARE, Prince",Neoclassicism,English,painter,
"PRÉAULT, Antoine-Augustin",Romanticism,French,sculptor,
"UNKNOWN MASTERS, Bohemian",Medieval,Bohemian,painter,Prague
"KESSEL, Jan van, I",Baroque,Flemish,painter,Antwerp
"HUGGINS, William John",Romanticism,English,painter,London
"DÜRER, Albrecht",Northern Renaissance,German,painter,
"TEERLINC, Levina",Mannerism,Flemish,miniaturist,London
"MARKÓ, Károly the Younger",Realism,Hungarian,painter,
KONRAD von Soest,Northern Renaissance,German,painter,Westphalie
"JONES, Inigo",Baroque,English,architect,London
"PIREZ D'ÉVORA, Alvaro",Early Renaissance,Portuguese,painter,Italy
"CASTRUCCI, Cosimo",Mannerism,Italian,sculptor,Prague
"MUNARI, Cristoforo",Baroque,Italian,painter,
"CHASE, William Merritt",Impressionism,American,painter,New York
"CARRIER-BELLEUSE, Albert-Ernest",Romanticism,French,sculptor,
"BABOCCIO DA PIPERNO, Antonio",Early Renaissance,Italian,sculptor,Naples
"BÉLANGER, François-Joseph",Neoclassicism,French,architect,Paris
"CASTELLO, Valerio",Baroque,Italian,painter,Genoa
"NOVELLI, Antonio",Baroque,Italian,sculptor,Florence
"FANCELLI, Luca",Early Renaissance,Italian,architect,Florence
"BUYTEWECH, Willem Pietersz.",Baroque,Dutch,painter,Haarlem
"HODLER, Ferdinand",Impressionism,Swiss,painter,
"HEEMSKERCK, Egbert van, the Younger",Baroque,Dutch,painter,Haarlem
"JUVARRA, Filippo",Baroque,Italian,architect,
"FERGUSON, William Gowe",Baroque,Scottish,painter,
"COMMODI, Andrea",Baroque,Italian,painter,Rome
"SHUBIN, Fedot Ivanovich",Neoclassicism,Russian,sculptor,St. Petersburg
"PALIZZI, Giuseppe",Realism,Italian,painter,Paris
"RIGHETTI, Francesco",Neoclassicism,Italian,sculptor,Rome
"BANDINELLI, Baccio",High Renaissance,Italian,sculptor,Florence
"FRIESEKE, Frederick Carl",Impressionism,American,painter,Giverny
"BLOEMAERT, Hendrick",Baroque,Dutch,painter,Utrecht
"LECLERC, Jean",Baroque,French,painter,
"CHILONE, Vincenzo",Neoclassicism,Italian,painter,Venice
"GEEL, Jacob van",Baroque,Dutch,painter,
"LINTHORST, Jacobus",Rococo,Dutch,painter,Amsterdam
"BORTOLONI, Mattia",Baroque,Italian,painter,
"LEYSTER, Judith",Baroque,Dutch,painter,Haarlem
"DAUBIGNY, Karl",Realism,French,painter,
"ABADIA, Juan de la",Early Renaissance,Spanish,painter,Huesca
"BORRASSA, Lluis",Early Renaissance,Catalan,painter,Barcelona
"SINGLETON, Henry",Romanticism,English,painter,London
GIOVANNI FRANCESCO DA RIMINI,Early Renaissance,Italian,painter,
"RUISDAEL, Isaack van",Baroque,Dutch,painter,Haarlem
"BRIL, Paul",Baroque,Flemish,painter,Rome
PIETRO DA VICENZA,Early Renaissance,Italian,painter,Friuli
"LEVITSKY, Dmitry Grigorevich",Rococo,Russian,painter,
"CASTELLÓ, Vicente",Baroque,Spanish,painter,Valencia
"VALLE, Filippo della",Baroque,Italian,sculptor,Rome
"COELLO, Claudio",Baroque,Spanish,painter,Madrid
"POLLAIUOLO, Piero del",Early Renaissance,Italian,painter,Florence
"SCHALCKE, Cornelis Symonsz. van der",Baroque,Dutch,painter,Haarlem
"PISSARRO, Georges",Impressionism,French,painter,
MASTER of the Osservanza,Early Renaissance,Italian,painter,Siena
BENVENUTO DI GIOVANNI,Early Renaissance,Italian,painter,Siena
NICCOLÒ DA FOLIGNO,Early Renaissance,Italian,painter,Umbria
"PEPIJN, Marten",Baroque,Flemish,painter,Antwerp
"DEVIS, Arthur",Rococo,English,painter,London
"BESNARD, Albert",Realism,French,painter,Paris
"HILLEBRANDT, Friedrich",Mannerism,German,goldsmith,Nuremberg
"BUORA, Giovanni di Antonio",Early Renaissance,Italian,architect,Venice
PESELLINO,Early Renaissance,Italian,painter,Florence
"BOUCHER, François",Rococo,French,painter,
"TRÉMOLIÈRES, Pierre-Charles",Rococo,French,painter,
"KAUW, Albrecht",Baroque,Swiss,painter,Bern
"FERRUCCI, Francesco",Mannerism,Italian,sculptor,Florence
"FEUERBACH, Anselm Friedrich",Romanticism,German,painter,Italy
"BARKER, Thomas",Romanticism,English,painter,Bath
"WEBBER, John",Rococo,English,painter,London
"UNKNOWN ICON PAINTERS, Russian",Medieval,Russian,painter,
"DEVÉRIA, Eugène-François-Marie-Joseph",Romanticism,French,painter,Paris
"VERBRUGGEN, Gaspar Peeter the Elder",Baroque,Flemish,painter,Antwerp
"GAUFFIER, Louis",Neoclassicism,French,painter,
"CARO, Baldassare de",Baroque,Italian,painter,Naples
"TOEPUT, Lodewijk",Mannerism,Flemish,painter,Italy
"VIOLLET-LE-DUC, Eugène-Emmanuel",Romanticism,French,architect,
"TILBORGH, Gillis van",Baroque,Flemish,painter,Brussels
"TRINQUESSE, Louis-Rolland",Rococo,French,painter,Paris
"POIRIER, Claude",Baroque,French,sculptor,
"PIANTA, Francesco",Baroque,Italian,sculptor,Venice
"AMADEO, Giovanni Antonio",Early Renaissance,Italian,architect,Lombardy
"KONINCK, Philips",Baroque,Dutch,painter,Amsterdam
"RIJCK, Pieter Cornelisz van",Baroque,Dutch,painter,Haarlem
"RAFFET, Auguste",Neoclassicism,French,painter,
DOMENICO DI MICHELINO,Early Renaissance,Italian,painter,Florence
"ROUSSEAU, Théodore",Realism,French,painter,Barbizon
"TIELING, Lodewijk",Baroque,Dutch,painter,Amsterdam
"DUBOIS-DRAHONET, Alexandre-Jean",Neoclassicism,French,painter,
"ROOS, Philipp Peter",Baroque,German,painter,Rome
URBANO DA CORTONA,Early Renaissance,Italian,sculptor,
"BAZILLE, Jean-Frédéric",Impressionism,French,painter,Paris
"CLAESZ., Pieter",Baroque,Dutch,painter,Haarlem
"CLÉRISSEAU, Charles Louis",Neoclassicism,French,architect,
"PIAZZETTA, Giacomo",Baroque,Italian,sculptor,Venice
"NETSCHER, Caspar",Baroque,Dutch,painter,The Hague
"UTENS, Giusto",Baroque,Flemish,painter,Carrara
"NEEFFS, Peeter the Younger",Baroque,Flemish,painter,Antwerp
"LION, Angelo",Baroque,Italian,painter,Venice
"BIRGER, Hugo",Impressionism,Swedish,painter,
"CANUTI, Domenico Maria",Baroque,Italian,painter,Bologna
"BANKS, Thomas",Neoclassicism,English,painter,
"MIJTENS, Daniel II",Baroque,Dutch,painter,The Hague
"VERBRUGGEN, Gaspar Peeter the Younger",Baroque,Flemish,painter,
"CHAUDET, Antoine-Denis",Neoclassicism,French,sculptor,
"DUBREUIL, Toussaint",Mannerism,French,painter,Fontainebleau
"BÜRKEL, Heinrich",Romanticism,German,painter,Munich
"GOURMONT, Jean de",Northern Renaissance,French,painter,
"TOL, Domenicus van",Baroque,Dutch,painter,Leiden
"BALEN, Hendrick van",Baroque,Flemish,painter,Antwerp
"TIARINI, Alessandro",Baroque,Italian,painter,Bologna
"GRASSI, Giovannino de'",Medieval,Italian,illuminator,Milan
TOMMASO DA MODENA,Medieval,Italian,painter,Modena
"GRONDONCK, Bartholomeus",Baroque,Flemish,painter,Antwerp
"CALVAERT, Denys",Mannerism,Flemish,painter,Bologna
"MIJN, Heroman van der",Baroque,Dutch,painter,
"MAGINI, Carlo",Rococo,Italian,painter,Fano
"WARIN, Jean",Baroque,French,sculptor,
"COXCIE, Michiel van",Northern Renaissance,Flemish,painter,Mechelen
"ALEKSANDROVIÆ, Ljubomir",Romanticism,Other,painter,
"LOCHNER, Stefan",Northern Renaissance,German,painter,Cologne
"FREUND, Hermann Ernst",Romanticism,Danish,sculptor,
NANNI DI BARTOLO,Early Renaissance,Italian,sculptor,Veneto
"JUEL, Jens Jørgensen",Rococo,Danish,painter,
SIMON VON TAISTEN,Northern Renaissance,Austrian,painter,Welsberg-Taisten
"VLIET, Hendrick Cornelisz. Van",Baroque,Dutch,painter,Delft
"COMPE, Jan ten",Baroque,Dutch,painter,Amsterdam
"PROCACCINI, Giulio Cesare",Baroque,Italian,painter,Milan
"MINDERHOUT, Hendrik van",Baroque,Flemish,painter,Bruges
"COURTOIS, Martial",Mannerism,French,goldsmith,Limoges
"BRYULLOV, Karl Pavlovich",Romanticism,Russian,painter,
"WILLIAMS, Walter",Realism,English,painter,London
"BENSO, Giulio",Baroque,Italian,painter,
"BEAUX, Cecilia",Realism,American,painter,Philadelphia
"BIGOT, Trophîme",Baroque,French,painter,Arles
"MOEYAERT, Claes Cornelisz.",Baroque,Dutch,painter,
MEMMO DI FILIPPUCCIO,Medieval,Italian,painter,
"LUYCKX, Christiaen",Baroque,Flemish,painter,Antwerp
"UNKNOWN MASTERS, French",Northern Renaissance,French,sculptor,
"MARIS, Matthijs",Impressionism,Dutch,painter,The Hague
"LISIEWSKA, Anna Rosina",Rococo,German,painter,
