Ime_slikarja,Narodnost,Smer,Letnice_kraj
"VOS, Marten de",Flemish,painter,"b. 1532, Antwerpen, d. 1603, Antwerpen"
"PATER, Jean Baptiste Joseph",French,painter,"b. 1695, Valenciennes, d. 1736, Paris"
"FERNANDES, Vasco",Portuguese,painter,active 1500-1542 in Viseu
"CHAMBERLIN, Mason the Elder",English,painter,"b. 1727, London, d. 1787, Dorset"
"AELST, Willem van",Dutch,painter,"b. 1627, Delft, d. ca. 1683, Amsterdam"
"EVENEPOEL, Henri",Belgian,painter,"b. 1872, Nice. d. 1899, Paris"
"RAGUENEAU, Abraham",French,painter,"b. 1623, London, d. after 1681"
"QUINSA, Giovanni",Spanish,painter,active c. 1640 in Naples
"ALBERTI, Leon Battista",Italian,architect,"b. 1404, Genova, d. 1472, Roma"
"ORTELIUS, Abraham",Flemish,cartographer,"b. 1528, Antwerpen, d. 1598, Antwerpen"
"BANDINELLI, Baccio","Italian sculptor, Florentine",school,"b. 1488, Firenze, d. 1560, Firenze"
"SALVI, Niccolò","Italian sculptor, Roman",school,"b. 1697, Roma, d. 1751, Roma"
"BIERSTADT, Albert",American,painter,"b. 1830, Solingen, d. 1902, New York"
"GELDER, Aert de",Dutch,painter,"b. 1645, Dordrecht, d. 1727, Dordrecht"
"MAGGIORE, Giovanni Ambrogio",Italian turner of ivory and,wood,"b. ca. 1550, Milano, d. after 1598, Roma"
"ALLORI, Cristofano","Italian painter, Florentine",school,"b. 1577, Firenze, d. 1621, Firenze"
"NATHE, Christoph",German,painter,"b. 1753, Görlitz, d. 1806, Schadewald"
GIOVANNI da Bologna ,Italian,painter,active 1370-1390
"CAROSELLI, Angelo","Italian painter, Roman",school,"b. 1585, Roma, d. 1652, Roma"
"CARNICERO Y MANCIO, Antonio",Spanish,painter,"b. 1748, Salamanca, d. 1814, Madrid"
"BROUWER, Adriaen",Flemish,painter,"b. ca. 1605, Oudenaerde, d. 1638, Antwerpen"
"ZAUNER, Franz Anton",Austrian,sculptor,"b. 1746, Untervalpatann, d. 1822, Wien"
"GRANACCI, Francesco","Italian painter, Florentine",school,"b. 1477, Firenze, d. 1543, Firenze"
"MOSKOS, Elias",Greek icon,painter,"d. 1687, Zakynthos"
"COYPEL, Noel-Nicolas",French,painter,"b. 1690, Paris, d. 1734, Paris"
"BLECHEN, Karl",German,painter,"b. 1797, Cottbus, d. 1840, Berlin"
DESIDERIO DA SETTIGNANO,Italian,sculptor,"b. ca. 1428, Settignano, d. 1464, Firenze"
MASTER THEODERIC,Bohemian,painter,active 1350-70 in Prague
"CASTEELS, Pieter",Flemish,painter,"b. 1684, Antwerpen, d. 1749, Richmond"
"ROETTIERS, Jan",Flemish,medallist,"b. 1631, Antwerpen, d. 1703, London"
"ABILDGAARD, Nicolai",Danish,painter,"b. 1743, København, d. 1809, Frederiksdal"
"SEROV, Valentin",Russian,painter,"b. 1865, St. Petersburg, d. 1911, Moscow"
"SARTORIUS, John Nost",English,painter,"b. 1759, London, d. 1828, London"
"RING, Laurits Andersen",Danish,painter,"b. 1854, Ring, d. 1933, Sankt Jørgensbjerg"
"GÉRÔME,  Jean-Léon",French painter and,sculptor,"b. 1824, Vesoul, d. 1904, Paris"
"PETERZANO, Simone",Italian,painter,"b. ca. 1540, Bergamo, d. ca. 1596, Milano"
"PERRIN, Jean-Charles-Nicaise",French,painter,"b. 1754, Paris, d. 1831, Paris"
"LASINIO, Giovanni Paolo",Italian,printmaker,"b. ca. 1789, Firenze, d. 1855, Firenze"
"MAGINI, Carlo",Italian,painter,"b. 1720, Fano, d. 1806, Fano"
"VOSMAER, Daniel",Dutch,painter,"b. 1622, Delft, d. ca. 1669, Den Briel"
"URBANI, Andrea",Italian painter and,decorator,"b. 1711, Venezia, d. 1798, Padova"
"GUARDI, Francesco","Italian painter, Venetian",school,"b. 1712, Venezia, d. 1793, Venezia"
"MARIS, Willem",Dutch,painter,"b. 1844, Den Haag, d. 1910, Den Haag"
PIERO DELLA FRANCESCA,Italian,painter,"b. 1416, Borgo San Sepolcro, d. 1492, Borgo San Sepolcro"
"KLINGER, Max",German painter and,sculptor,"b. 1857, Leipzig, d. 1920, Naumburg"
"LEYTENS, Gysbrecht",Flemish,painter,"b. 1586, Antwerpen, d. 1642/57, Antwerpen"
"CACCINI, Giovanni Battista",Italian,sculptor,"b. 1556, Roma, d. 1613, Firenze"
"FERGUSON, William Gowe",Scottish,painter,"b. ca. 1633, Scotland, d. after 1695, Scotland"
"LEMOINE, Marie-Victoire",French,painter,"b. 1754, Paris, d. 1820, Paris"
"ROUBILIAC, Louis-François",English/French,sculptor,"b. 1705, Lyon, d. 1762, London"
"POTTER, Paulus",Dutch,painter,"b. 1625, Enkhuizen, d. 1654, Amsterdam"
"RUCKERS, Hans the Elder",Flemish virginal,maker,"b. ca. 1545, Mechelen, d. 1598, Antwerpen"
"UNTERBERGER, Christoph",Austrian,painter,"b. 1732, Cavalese, d. 1798, Roma"
"SERAFINI, Serafino",Italian,painter,"b. ca. 1324, Modena, d. ca. 1393, Ferrara"
"ZUGNO, Francesco","Italian painter, Venetian",school,"b. ca. 1708, Brescia, d. 1787, Venezia"
"CAFFI, Ippolito",Italian,painter,"b. 1809, Belluno, d. 1866, at sea"
"MIGNOT, Pierre-Philippe",French,sculptor,"b. 1715, Paris, d. 1770, Paris"
"PICHLER, Joseph von",Austrian,painter,"b. 1730, Kötschach, d. 1808, Wien"
"ANGELI, Giuseppe","Italian painter, Venetian",school,"b. 1712, Venezia, d. 1798, Venezia"
"LE CLERC, Sébastien I",French,printmaker,"b. 1637, Metz, d. 1714, Paris"
"FISCHBACH, Johann",German painter and,draftsman,"b. 1797, Grafenegg, d. 1871, München"
"PIAZZA DA LODI, Martino","Italian painter, Lombard",school,"b. 1475/80, Lombardy, d. 1523, ?"
"COUSTENS, Pieter",Flemish,painter,active 1453-1487 in Bruges and Brussels
"DROUAIS, François-Hubert",French,painter,"b. 1727, Paris, d. 1775, Paris"
BARTOLOMEO VENETO,"Italian painter, Venetian",school,"active 1502, d. 1531, Torino"
"HOBBEMA, Meyndert",Dutch,painter,"b. 1638, Amsterdam, d. 1709, Amsterdam"
MASTER H.L.,German,sculptor,active c. 1515-1526 in Upper Rhine
"GIMIGNANI, Giacinto","Italian painter, Roman",school,"b. 1606, Pistoia, d. 1681, Roma"
"TOMÉ, Narciso",Spanish,sculptor,"b. 1694, Toro, d. 1742, Toledo"
"ROSSI, Mariano",Italian,painter,"b. 1731, Sciacca, d. 1807, Roma"
ANDREA DEL CASTAGNO,"Italian painter, Florentine",school,"b. 1423, Castagno, d. 1457, Firenze"
