Ime_slikarja,Narodnost,Smer,Letnice_kraj 
"MOLENAER, Bartholomeus",Dutch,painter,"b. 1618, Haarlem, d. 1650, Haarlem"
"FORMENT, Damian",Spanish,sculptor,"b. ca. 1480, Valencia, d. 1540, Logrono"
"LEONBRUNO, Lorenzo",Italian,painter,"b. 1489, Mantova, d. ca. 1537, Mantova"
"TARAVAL, Guillaume-Thomas-Raphaël",French,painter,"b. 1701, Paris, d. 1750, Stockholm"
"WEISWEILER, Adam",French,cabinet-maker,"b. 1744, Neuwied, d. 1820, Paris"
"BUORA, Giovanni di Antonio",Italian,sculptor/architect,"b. ca. 1450, Osteno, d. 1513, Venezia"
"POELENBURGH, Cornelis van",Dutch,painter,"b. ca. 1594, Utrecht, d. 1667, Utrecht"
PIETRO DI GIOVANNI D'AMBROGIO,"Italian painter, Sienese",school,"b. ca. 1410, Siena, d. 1449, Siena"
"TEMPEL, Abraham van den",Dutch,painter,"b. 1622, Leeuwarden, d. 1672, Amsterdam"
"FINELLI, Giuliano",Italian,sculptor,"b. 1601, Carrara, d. 1653, Rome"
"SILOE, Gil de",Spanish,sculptor/architect,"d. ca. 1501, Burgos"
"DIEUSSART, François",Flemish,sculptor,"b. ca. 1600, Armentières, d. 1661, London"
"RADEMAKER, Abraham",Dutch,printmaker,"b. 1676, Lisse, d. 1735, Haarlem"
"GIBSON, John",British,sculptor,"b. 1790, Conway, d. 1866, Roma"
"EECKHOUT, Gerbrand van den",Dutch,painter,"b. 1621, Amsterdam, d. 1674, Amsterdam"
"MONTFORT, Octavianus",French,painter,17th century
"MINDERHOUT, Hendrik van",Flemish,painter,"b. 1632, Rotterdam, d. 1696, Antwerpen"
"SQUARCIONE, Francesco","Italian painter, Paduan",school,"b. 1397, Padova, d. 1468, Padova"
"DUBOS, Marie-Jeanne Renard",French,engraver,"b. 1701, Paris"
"MADARÁSZ, Viktor",Hungarian,painter,"b. 1830, Csetnek, d. 1917, Budapest"
"DUBOIS-PILLET, Albert",French,painter,"b. 1846, Paris, d. 1890,  Le Puy-en-Velay"
JACOPO DA MONTAGNANA,Italian,painter,"b. ca. 1445, Montagnana, d. 1499, Padova"
"BOULLOGNE, Bon",French,painter,"b. 1649, Paris, d. 1717, Paris"
"FÜHRICH, Joseph von",Bohemian,painter,"b. 1800, Kratzau, d. 1876, Wien"
"POCCETTI, Bernardino",Italian,painter,"b. 1548, San Marino di Valdelsa, d. 1612, Firenze"
"DELSENBACH, Johann Adam",German painter and,engraver,"b. 1687, Nürnberg, d. 1765, Nürnberg"
MASTER of the Acquavella Still-Life,Italian,painter,active 1610-20 in Rome
"MÉSZÖLY, Géza",Hungarian,painter,"b. 1844, Sárbogárd, d. 1887, Jobbágyi"
"GHERARDI, Antonio",Italian,painter/architect,"b. 1638, Rieti, d. 1702, Roma"
"PRENDERGAST, Maurice Brazil",American,painter,"b. 1859, St. John's, Newfoundland, d. 1924, New York"
"REYMERSWAELE, Marinus van",Flemish,painter,"b. ca. 1490, Reymerswale, d. ca. 1567, Reymerswale"
"CUYP, Aelbert",Dutch,painter,"b. 1620, Dordrecht, d. 1691, Dordrecht"
DUCCIO di Buoninsegna,"Italian painter, Sienese",school,"b. ca. 1255, Siena, d. 1319, Siena"
"BARRIAS, Louis-Ernest",French,sculptor,"b. 1841, Paris, d. 1905, Paris"
"MARIANI, Camillo","Italian sculptor, Roman",school,"b. ca. 1565, Vicenza, d. 1611, Roma"
"BISSCHOP, Abraham",Dutch,painter,"b. 1670, Dordrecht, d. 1729, Middelburg"
"ESPINOSA, Juan Bautista de",Spanish,painter,"b. ca. 1590, ?, d. ca. 1641, Madrid"
"DELVAUX, Laurent",Flemish,sculptor,"b. 1696, Gent, d. 1778, Nivelles"
"LOOFS, Adam",Dutch,silversmith,"b. ca. 1645, The Hague, d. 1710, The Hague"
"NOMELLINI, Plinio",Italian,painter,"b. 1866, Livorno, d. 1943, Firenze"
MASTER PAUL of Lõcse,Hungarian,sculptor,active 1500-1520 in Upper Hungary
"DURAND, Asher Brown",American,painter,"b. 1796, Springfield Township, d. 1886, Maplewood"
"MARINALI, Orazio",Italian,sculptor,"b. 1643, Angarano, d. 1720, Vicenza"
"ROSSELLI, Cosimo","Italian painter, Florentine",school,"b. 1439, Firenze, d. 1507, Firenze"
GIOVANNI DI FRANCESCO DEL CERVELLIERA,"Italian painter, Florentine",school,"b. 1412, Firenze, d. 1459, Firenze"
"HEUSSEN, Claes van",Dutch,painter,"b. 1599, Haarlem, d. after 1631, Haarlem"
"KARCHER, Giovanni",Flemish tapestry,weaver,active 1517-1562
"KOERBECKE, Johann",German,painter,"b. ca. 1420, Oelsfeld, d. 1490, Münster"
"DOUVEN, Jan Frans",Dutch,painter,"b. 1656, Roermond, d. 1727, Düsseldorf"
"CINCINNATO, Romulo",Italian,painter,"b. ca. 1502, Firenze, d. 1593, Espana"
"HEIMBACH, Wolfgang",German,painter,"b. ca. 1615, Ovelgönne, d. after 1678"
"GROHAR, Ivan",Slovenian,painter,"b. 1867, Spodnj Sorica, d. 1911, Ljubljana"
"SPELT, Adrian van der",Dutch,painter,"b. ca. 1630, Leiden, d. 1673, Gouda"
"SAVOYEN, Carel van",Flemish,painter,"b. ca. 1621, Antwerpen, d. 1665, Amsterdam"
"ZAVATTARI, Franceschino",Italian,painter,active 1414-1453 in Milan
"BORSATO, Giuseppe","Italian painter, Venetian",school,"b. 1770, Venezia, d. 1849, Venezia"
"SZÉKELY, Bertalan",Hungarian,painter,"b. 1835, Kolozsvár, d. 1910, Budapest"
"FRANCIA, Francesco",Italian,painter,"b. 1450, Bologna, d. 1517, Bologna"
"BELLANGÉ, Hippolyte",French painter and,printmaker,"b. 1800, Paris, d. 1866, Paris"
"PICCINI, Giacomo",Italian,printmaker,"b. ca. 1617, Venezia, d. ca. 1669, Venezia"
"ANTOLINEZ, José",Spanish,painter,"b. 1635, Madrid, d. 1675, Madrid"
"ACHENBACH, Oswald",German,painter,"b. 1827, Düsseldorf, d. 1905, Düsseldorf"
SEGNA DI BUONAVENTURE,"Italian painter, Sienese",school,"doc. 1298, Siena, d. ca. 1331, Siena"
"LEMBERGER, Georg",German,painter,"b. 1490/95, Landshut, d. 1540, Magdeburg"
"IVÁNYI GRÜNWALD, Béla",Hungarian,painter,"b. 1867, Somogysom, d. 1940, Budapest"
"POURBUS, Frans the Younger",Flemish,painter,"b. 1569, Antwerpen, d. 1622, Paris"
"TALENTI, Simone",Italian,architect,"b. ca. 1330, d. after 1383"
"RAVENET, Simon François",French,engraver,"b. 1706, Paris, d. 1774, London"
"WATERLOO, Anthonie",Dutch painter and,printmaker,"b. 1609, Ryssel, d. 1690, Utrecht"
"RAVERTI, Matteo",Italian sculptor and,architect,active 1398-1436
AGOSTINO DI GIOVANNI,Italian,sculptor,active 1310-1347 in Siena
"MOILLON, Louise",French,painter,"b. 1610, Paris, d. 1696, Paris"
MATTHEW PARIS,English,illuminator,c. 1200-1259
GIUSTO de' Menabuoi,"Italian painter, Paduan",school,"b. ca. 1320, Firenze, d. 1391, Firenze"
"BRYULLOV, Aleksandr Pavlovich",Russian,architect,"b. 1798, St. Petersburg, d. 1877, St. Petersburg"
"BREGNO, Antonio","Italian architect/sculptor, Venetian",school,active 1425-1457
"MANFREDI, Bartolomeo","Italian painter, Roman",school,"b. 1582, Mantova, d. after 1622, Roma"
"PRETI, Francesco Maria",Italian,architect,"b. 1701, Castelfranco Veneto, d. 1774, Castelfranco Veneto"
"DANLOUX, Henri-Pierre",French,painter,"b. 1753, Paris, d. 1809, Paris"
"GILLOT, Claude",French,painter,"b. 1673, Langres, d. 1722, Paris"
"VINCKBOONS, David",Flemish,painter,"b. 1576, Mechelen, d. ca. 1633, Amsterdam"
"NASMYTH, Alexander",Scottish,painter,"b. 1758, Edinburgh, d. 1840, Edinburgh"
"VÁZQUEZ, Alonso",Spanish,painter,"b. ca. 1565, Ronda, d. ca. 1608, Mexico City"
"HOPPNER, John",English,painter,"b. 1758, London, d. 1810, London"
"DUPUYS, Pierre",French,painter,"b. 1610, Montfort l'Amaury, d. 1682, Paris"
"FUNGAI, Bernardino",Italian,painter,"b. 1460, Siena, d. 1516, Siena"
MICHELE DA FIRENZE,Italian,sculptor,active c. 1404-1443
"SANGALLO, Bastiano da",Italian,architect,"b. 1481, Firenze, d. 1551, Firenze"
"KERSEBOOM, Friedrich",German,painter,"b. 1632, Solingen, d. 1693, London"
"PILLORI, Antonio Nicola",Italian,architect,"b. ca. 1687, Firenze, d. 1763, Firenze"
"FANZAGO, Cosimo",Italian sculptor and interior,designer,"b. 1591, Bergamo, d. 1678, Napoli"
"VENUSTI, Marcello",Italian,painter,"b. ca. 1512, Como, d. 1579, Roma"
"SON, Joris van",Flemish,painter,"b. 1623, Antwerpen, d. 1667, Antwerpen"
"HUCHTENBURG, Jan van",Dutch,painter,"b. 1647, Haarlem, d. 1733, Amsterdam"
"HEUSCH, Jacob de",Dutch,painter,"b. 1657, Utrecht, d. 1701, Amsterdam"
"HUDEÈEK, Antonín",Czech,painter,"b. 1872, Loucká u Øedhotì, d. 1941, Èastolovice"
"LUNDBERG, Gustaf",Swedish,painter,"b. 1695, Stockholm, d. 1786, Stockholm"
"PERRIER, François",French,painter,"b. ca. 1594, Pontarlier, d. 1649, Paris"
"CARPACCIO, Vittore","Italian painter, Venetian",school,"b. 1472, Venezia, d. 1526, Capodistria"
"PISSARRO, Lucien",French,painter,"b. 1863, Paris, d. 1944, London"
"CROFF, Giuseppe",Italian,sculptor,"b. 1810, Milano, d. 1869, Torno"
"SORMANI, Leonardo",Italian,sculptor,"active 1551, d. 1589, Roma"
"COSWAY, Richard",English,miniaturist,"b. 1742, Tiverton, d. 1821, Edgware"
PIERINO DA VINCI,Italian,sculptor,"b. ca. 1529, Vinci, d. 1553, Pisa"
"LOOS, Friedrich",Austrian painter and,printmaker,"b. 1797, Graz, d. 1890, Kiel"
"SOLA, Antonio",Spanish,sculptor,"b. 1787, Barcelona, d. 1861, Roma"
"KRAFT, Adam",German,sculptor,"b. 1455/60, Nürnberg, d. 1508/09, Nürnberg"
"PYNAS, Jacob Symonsz.",Dutch,painter,"b. ca. 1592, Amsterdam, d. after 1650, Delft"
MASTER of the Castello Nativity,Italian,painter,active 1445-1470 in Florence
"FLORIS, Frans",Flemish,painter,"b. ca. 1516, Antwerpen, d. 1570, Antwerpen"
"LUCAS VELÁZQUEZ, Eugenio",Spanish,painter,"b. 1824, Alcalé de Henares, d. 1870, Madrid"
"MELONE, Altobello","Italian painter, Cremonese",school,"b. ca. 1485, Cremona, d. c. 1543, Cremona"
MASTER of the Blue Jeans,Italian,painter,active 1680-1700 in Lombardy
"RIPA, Cesare",Italian aesthetician and,writer,"b. ca. 1555, Perugia, d. 1622, Roma"
"POWERS, Hiram",American,sculptor,"b. 1805, Woodstock, Vermont, d. 1873, Firenze"
"HUDSON, Thomas",English,painter,"b. 1701, Devonshire, 1779, Twickenham"
"SUVÉE, Joseph-Benoit",Flemish,painter,"b. 1743, Brugge, d. 1807, Roma"
"CAFFI, Margherita  ",Italian,painter,"b. ca. 1650, Vicenza, d. 1710, Milano"
"CARS, Laurent",French,engraver,"b. 1699, Lyon, d. 1771, Paris"
BONANNO DA PISA,Italian,painter,active late 12th century
"ZIEGLER, Johann",German graphic,artist,"b. 1749, Meiningen, d. 1812, Wien"
"CRIVELLI, Carlo","Italian painter, Venetian",school,"b. 1430/35, Venezia, d. 1495, Camerino, Marche"
"CRAESBEECK, Josse van",Flemish,painter,"b. ca. 1605, Neerlinter, d. ca. 1661, Bruxelles"
"MURA, Francesco de","Italian painter, Neapolitan",school,"b. 1696, Napoli, d. 1782, Napoli"
JACOPINO DA TRADATE,Italian,sculptor,active 1401-1440 in Milan and Mantua
"ROBBIA, Giovanni della","Italian sculptor, Florentine",school,"b. 1469, Firenze, d. 1529, Firenze"
"GREBBER, Pieter de","Dutch painter, Haarlem",school,"b. ca. 1600, Haarlem, d. 1652/53, Haarlem"
"JOUVENET, Jean-Baptiste",French,painter,"b. 1644, Rouen, d. 1717, Paris"
"CORINTH, Lovis",German,painter,"b. 1858, Tapiau, d. 1925, Zandvoort"
"MARTOS, Ivan Petrovich","Ukrainian sculptor, active in",Russia,"b. 1754, Ichnya, d. 1835, St. Petersburg"
"FINÉ, Oronce",French,cartograpaher,"b. 1494, Briançon, d. 1555, Paris"
"LE PAUTRE, Jean",French graphic,artist,"b. 1618, Paris, d. 1682, Paris"
"PÉCHEUX, Laurent",French,painter,"b. 1729, Lyon, d. 1821, Torino"
"PROVOST, Jan",Netherlandish,painter,"b. ca. 1465, Mons, d. 1529, Bruges"
"TARBELL, Edmund Charles",American,painter,"b. 1862, West Groton, d. 1938, New Castle"
"WOOLNER, Thomas",English,sculptor,"b. 1825, Hadleigh, Suffolk, d. 1892, London"
ANTONIO DA CREVALCORE,Italian,painter,"b. ca. 1440, Crevalcore, d. ca. 1525, Bologna"
"NAZARI, Bartolomeo","Italian painter, Venetian",school,"b. 1699, Clusone, d. 1758, Milano"
"VOS, Simon de",Flemish,painter,"b. 1603, Antwerpen, d. 1676, Antwerpen"
"PERANDA, Sante","Italian painter, Venetian",school,"b. 1566, Venezia, d. 1638, Venezia"
"BEMBO, Giovan Francesco",Italian,painter,"b. ca. 1480, Cremona, d. ca. 1543"
"FACCINI, Pietro",Italian painter and,printmaker,"b. ca. 1562, Bologna, d. 1602, Bologna"
"BUONTALENTI, Bernardo",Italian architect and,designer,"b. ca. 1531, Firenze, d. 1608, Firenze"
"FERRARI, Defendente","Italian painter, Piedmont",school,"b. ca. 1485, Chivasso, d. after 1540"
"CLEVELEY, John the Younger",English,painter,"b. 1747, Deptford, d. 1786, London"
"MORET, Henry",French,painter,"b. 1856, Cherbourg, d. 1913, Paris"
MASTER of the Parrot,Flemish,painter,active 1525-50 in Antwerp
"BRANDI, Giacinto",Italian,painter,"b. 1621, Poli, d. 1691, Roma"
"BOTH, Andries",Dutch,painter,"b. ca. 1612, Utrecht, d. 1641, Venice"
"DOLCI, Carlo","Italian painter, Florentine",school,"b. 1616, Firenze, d. 1687, Firenze"
"SCHARDT, Johann Gregor van der",Netherlandish,sculptor,"b. ca. 1530, Nijmegen, d. after 1581, Nürnberg"
"MACTAGGART, William",Scottish,painter,"b. 1835, Aros, Kintyre, Strathclyde, d. 1910, Broomiknowe, Lothian"
"WITTEN, Hans",German,sculptor,active 1485-1525 in Saxony
"LALLEMAND, Jean-Baptiste",French,painter,"b. 1716, Dijon, d. ca. 1803, Paris"
"BOUCLE, Pierre van",Flemish,painter,"b. ca. 1610, Antwerpen, d. 1673, Paris"
"VALESIO, Giovanni Luigi",Italian painter and,engraver,"b. ca. 1583, Bologna, d. ca. 1633, Roma"
"SCACCO, Cristoforo",Italian,painter,known 1493-1500
"LARCIANI, Giovanni di Lorenzo",Italian,painter,"b. 1484, Firenze, d. 1527, Firenze"
"HUYSUM, Justus van, I",Dutch,painter,"b. 1659, Amsterdam, d. 1716, Amsterdam"
"WERENSKIOLD, Erik",Norwegian,painter,"b. 1855, Eidskog, d. 1938, Oslo"
"ASHTON, Julian Rossi",Australian,painter,"b. 1851, Surrey, d. 1942, Sidney"
"FERRARI, Lorenzo de'",Italian,painter,"b. 1680, Genova, d. 1744, Genova"
"QUAST, Pieter Jansz.",Dutch,painter,"b. ca. 1605, Amsterdam, d. 1647, Amsterdam"
"NOVELLI, Pietro (known as Il Monrealese)","Italian painter, Sicilian",school,"b. 1603, Monreale, d. 1647, Palermo"
"BOURDELLE, Émile-Antoine",French,sculptor,"b. 1861, Montauban, d. 1929, Le Vésinet"
"MALINCONICO, Nicola","Italian painter, Neapolitan",school,"b. ca. 1663, Napoli, d. 1721, Napoli"
"NUYEN, Wijnandus Johannes Josephus",Dutch,painter,"b. 1813, Den Haag, d. 1839, Den Haag"
"CALENDARIO, Filippo",Italian,sculptor,"b. before 1315, ?, d. 1355, Venezia"
"COCK, Hieronymus",Flemish graphic,artist,"b. ca. 1510, Antwerpen, d. 1570, Antwerpen"
GIOVANNI DA MILANO,Italian,painter,"active 1350-69, Milano, Firenze"
"KØBKE, Christen",Danish,painter,"b. 1810, København, d. 1848, København"
"BONECHI, Matteo",Italian,painter,"b. 1669, Firenze, d. 1756, Firenze"
"HUILLIOT, Pierre Nicolas",French,painter,"b. 1674, Paris, d. 1751, Paris"
"BISCAINO, Bartolomeo",Italian,painter,"b. 1629, Genova, d. 1657, Genova"
"PUCELLE, Jean",French,illuminator,active c. 1319-1334 in Paris
"SLINGELAND, Pieter Cornelisz. van",Dutch,painter,"b. 1640, Leiden, d. 1691, Leiden"
"ROSSELLI, Matteo","Italian painter, Florentine",school,"b. 1578, Firenze, d. 1650, Firenze"
MASTER of the Mascoli Altar,"Italian sculptor, Venetian",school,active 1425-50
"VISCHER, Peter the Younger",German,sculptor,"b. 1487, Nürnberg, d. 1528, Nürnberg"
"LÉPICIÉ, François-Bernard",French,engraver,"b. 1698, Paris, d. 1755, Paris"
ALTICHIERO da Zevio,"Italian painter, Veronese",school,"b. ca. 1330, Zevio, d. ca. 1390, Verona"
"STRINGER, Francis",English,painter,active 1760-1778
"BENCZÚR, Gyula",Hungarian,painter,"b. 1844, Nyíregyháza, d. 1920, Dolány"
"FALCONETTO, Giovanni Maria",Italian,painter,"b. 1468, Verona, d. 1535, Padova"
"KOETS, Roelof","Dutch painter, Haarlem",school,"b. ca. 1592, Haarlem, d. 1655, Haarlem"
GIROLAMO DA CREMONA,Italian,illuminator,active 1451-1483
DIETISALVI DI SPEME,Italian,painter,active 1250-1291 in Siena
"CLÈVE, Corneille van",French,sculptor,"b. 1646, Paris, d. 1732, Paris"
"VIGNON, Claude",French,painter,"b. 1593, Tours, d. 1670, Paris"
"CORNET, Jacobus Ludovicus",Dutch painter and,engraver,"b. 1815, Leiden, d. 1882, Leiden"
"WIERIX, Hieronymus",Flemish,engraver,"b. 1553, Antwerpen, d. 1619, Antwerpen"
"ANTROPOV, Aleksey Petrovich",Russian,painter,"b. 1716, St. Petersburg, d. 1795, St. Petersburg"
"BAMBINI, Nicolò",Italian,painter,"b. 1651, Venezia, d. 1736, Venezia"
"NOORDT, Jan van",Dutch,painter,"b. ca. 1623, Amsterdam, d. after 1676, Amsterdam"
"RAVIER, Auguste",French,painter,"b. 1814, Lyon, d. 1895, Morestel"
"STOCKT, Vrancke van der",Flemish,painter,c. 1420-1495
"MARASTONI, Jakab",Hungarian painter of Italian,descent,"b. 1804, Venezia, d. 1860, Pest"
"BONSIGNORI, Francesco","Italian painter, Veronese",school,"b. 1455, Verona, d. 1519, Caldiero"
"CEULEN, Peter Wolfgang van",German,sculptor,active 1520s in Rhineland
"FURINI, Francesco","Italian painter, Florentine",school,"b. 1603, Firenze, d. 1646, Firenze"
MASTER of the Clarisse Panel,Italian,painter,documented 1274-1281 in Siena
"FRANCHI, Antonio",Italian,painter,"b. 1638, Villa Basilica, d. 1709, Firenze"
"STOSS, Veit",German,sculptor,"b. ca. 1450, Horb, d. 1533, Nürnberg"
"ESTEVE Y MARQUES, Agustín",Spanish,painter,"b. 1753, Valencia, d. ca. 1820, Madrid"
MASTER of the Isaac Stories,Italian,painter,active 1290s
DOMENICO DI AGOSTINO,"Italian sculptor, Sienese",school,"d. 1369, Siena"
"CARLEVARIS, Luca","Italian painter, Venetian",school,"b. 1663, Udine, d. 1730, Venezia"
"KOEDIJCK, Isaack",Dutch,painter,"b. ca. 1617, Amsterdam, d. ca. 1668, Amsterdam"
"DO, Giovanni",Spanish,painter,"b. ca. 1617, Valencia, d. 1656, Napoli"
"BARRE, Jean-Jacques",French,sculptor,"b. 1793, Paris, d. 1855, Paris"
"MENZEL, Adolph von",German,painter,"b. 1815, Breslau, d. 1905, Berlin"
"BRUCE, William Blair",Canadian,painter,"b. 1859, Hamilton, d. 1906, Stockholm"
"TOOROP, Jan",Dutch,painter,"b. 1858, Purworejo, Java, d. 1928, Den Haag"
"JUNI, Juan de",Spanish,sculptor,"b. 1506, Joigny, d. 1577, Valladolid"
"VELÁZQUEZ, Diego Rodriguez de Silva y",Spanish,painter,"b. 1599, Sevilla, d. 1660, Madrid"
"MOSNIER, Jean-Laurent",French,painter,"b. ca. 1743, Paris, d. 1808, St. Petersburg"
"BEHAM, Barthel",German,painter,"b. 1502, Nürnberg, d. 1540, Italy"
"SKARBINA, Franz",German painter and,illustrator,"b. 1849, Berlin, d. 1910, Berlin"
"JUVARRA, Filippo",Italian architect and,scenographer,"b. 1678, Messina, d. 1736, Madrid"
"CARREÑO DE MIRANDA, Juan",Spanish,painter,"b. 1614, Avilés, d. 1685, Madrid"
"SANCHEZ COELLO, Alonso",Spanish,painter,"b. 1531, Beifayo, d. 1588, Madrid"
"SEYMOUR, James",English,painter,"b. ca. 1702, London, d. 1752, London"
"FONDULI, Giovanni Paolo",Italian,sculptor,active 1468-1484 in Padua
"TILBORGH, Gillis van",Flemish,painter,"b. ca. 1625, Bruxelles, d. ca. 1678, Bruxelles"
"POZZO, Andrea",Italian,painter,"1642, Trento - 1709, Vienna"
"GRANET, François-Marius",French,painter,"b. 1755, Aix-en-Provence, d. 1849, Aix-en-Provence"
"EDINGEN VAN AELST, Pieter van",Flemish tapestry,maker,"b. ca. 1450, Waterloo, d. 1531, Bruxelles"
AGOSTINO DI DUCCIO,Italian,sculptor,"b. 1418, Firenze, d. 1481, Perugia"
"MAZZA, Giuseppe Maria","Italian sculptor, Bolognese",school,"b. 1653, Bologna, d. 1741, Bologna"
"LEONI, Leone",Italian,sculptor,"b. 1509, Menaggio, d. 1590, Milano"
"CARLONE, Diego Francesco",Italian,stuccoist,"b. 1674, Scaria, d. 1750, Scaria"
"TERRENI, Giuseppe Maria ",Italian painter and,printmaker,"b. 1739, Livorno, d. 1811, Livorno"
"ZEEUW, Cornelis de",Flemish,painter,active 1558-1569 in Antwerp
"CONCA, Tommaso",Italian,painter,"b. 1734, Roma, d. 1822, Roma"
"LOMBARDO, Antonio",Italian,sculptor,"b. ca. 1458, d. 1516, Ferrara"
"GENNARI, Benedetto I",Italian,painter,"b. 1563, Cento, d. 1658, Cento"
"GREUZE, Jean-Baptiste",French,painter,"b. 1725, Tournus, d. 1805, Paris"
"VLIET, Willem van der",Dutch,painter,"b. ca. 1584, Delft, d. 1642, Delft"
"LIMBOURG brothers (Herman, Jean, Paul)",Flemish,painters,"b. 1370-80, Nijmegen, d. 1416, Nijmegen"
"OUVRIER, Jean",French,engraver,"b. 1725, Paris, d. 1784, Paris"
MASTER of the Cassoni Campana,Italian,painter,active 1500-1525 in Florence
"HOREMANS, Jan Jozef II",Flemish,painter,"b. 1714, Antwerpen, d. after 1790, Antwerpen"
"MAKOVSKY, Aleksandr Vladimirovich",Russian,painter,"b. 1869, Moscow, d. 1924, St. Petersburg"
"RICCARDI, Gabriele",Italian,architect,active mid-16th century in Lecce
"WALDMÜLLER, Fedinand Georg",Austrian,painter,"b. 1793, Wien, d. 1865, Helmstreitmühle"
"HETSCH, Philipp Friedrich von",German,painter,"b. 1758, Stuttgart, d. 1838, Stuttgart"
"GALEN, Nicolaes van",Dutch,"painter,",active 1657 in Hasselt
"SIRANI, Elisabetta",Italian woman,painter,"b. 1638, Bologna, d. 1665, Bologna"
"RUBLYOV, Andrey",Russian,painter,"b. ca. 1360, ?, d. 1430, Moscow"
"LEYS, Henri",Belgian,painter,"b. 1815, Antwerpen, d. 1869, Antwerpen"
"HOUCKGEEST, Gerard",Dutch,painter,"b. ca. 1600, The Hague, d. 1661, Delft"
"YEVELE, Henry",English,architect,"b. 1320s, Yeaveley, Derbys, d. 1400, London"
"MAGATTI, Pietro Antonio",Italian,painter,"b. 1691, Varese, d. 1767, Varese"
"NOUAILHER, Couly II",French,enameller,active 1539-1545 in Limoges
"BECCAFUMI, Domenico","Italian painter, Sienese",school,"b. ca. 1486, Castel Monaperto, d. 1551, Siena"
"FEUERBACH, Anselm Friedrich",German,painter,"b. 1829, Speyer, d.1880, Venezia"
"LEITCH, William Leighton",Scottish,painter,"b. 1804, Glasgow, d. 1883, London"
"TARUFFI, Emilio",Italian,painter,"b. 1633, Bologna, d. 1696, Bologna"
MASTER of AC Monogram,French,painter,second half of 16th century
"BEAUBRUN, Charles",French,painter,"b. 1604, Amboise, d. 1692, Paris"
"NELLI, Ottaviano",Italian,painter,"b. ca. 1370, Gubbio, d. ca. 1444, Gubbio"
"KELLER,  Heinrich",Swiss,draughtsman,"b. 1778, Zürich, d. 1862, Zürich"
"CLEVELEY, John the Elder",English,painter,"b. ca. 1712, Southwark, d. 1777, Southwark"
"BELLO, Marco",Italian,painter,"b. 1470, Venezia, d. 1523, Udine"
"MAINERI, Gian Francesco",Italian,painter,"b. ca. 1460, Parma, d. ca. 1535, Parma"
"LINGELBACH, Johannes",German/Dutch,painter,"b. 1622, Frankfurt/Main, d. 1674, Amsterdam"
"SWANENBURG, Willem Isaacsz. van",Dutch,engraver,"b. 1580, Leiden, d. 1612, Leiden"
"GROPPO, Cesare",Italian bronze,founder,active around 1600
"ANSELMI, Michelangelo","Italian painter, Parma",school,"b. ca. 1492, Siena or Lucca, d. 1556, Parma"
"GARNIER, Louis",French,sculptor,"b. ca. 1639, Paris, d. 1728, Paris"
"MOSER, Lukas",German,painter,"b. ca. 1390, Weil der Stadt, d. after 1434"
"MIERIS, Willem van","Dutch painter, Leiden",school,"b. 1662, Leiden, d. 1747, Leiden"
"KALF, Willem",Dutch,painter,"b. 1619, Rotterdam, d. 1693, Amsterdam"
"DEVIS, Thomas Anthony",English,painter,"b. 1757, London, d. 1810, London"
"CACCIA, Orsola Maddalena",Italian,painter,"b. 1596, Moncalvo, d. 1676, Moncalvo"
"GREGORIUS, Albert",Belgian,painter,"b. 1774, Bruges, d. 1853, Bruges"
"SCHAUFELEIN, Hans Leonhard",German,painter,c. 1480 - 1538/40
"TRUMBULL, John",American,painter,"b. 1756, Lebanon, CT, d. 1843, New York"
"PIONIEZ, Pierre",French,cabinetmaker,"b. 1731, Paris, d, 1790, Paris"
"GRAN, Daniel",Austrian,painter,"b. 1694, Wien, d. 1757, St Pölten"
"JOUBERT, Gilles",French,cabinet-maker,"b. 1689, Paris, d. 1775, Paris"
"LEICHER, Felix Ivo",Austrian,painter,"b. 1727, Wagstadt, d. 1812, Wien"
"SILVESTRE, Louis de",French,painter,"b. 1675, Sceaux, d. 1760, Paris"
"AMIGONI, Jacopo","Italian painter, Venetian",school,"b. 1682, Napoli, d. 1752, Madrid"
"MIJTENS, Martin I",Dutch,painter,"b. 1648, Den Haag, d. 1736, Stockholm"
"PÉREZ SIERRA, Francisco",Spanish,painter,"b. 1627, Napoli, d. 1709, Madrid"
"VOLAIRE, Pierre-Jacques",French,painter,"b. 1729, Toulon, d. 1790s, Italy"
"ANGELICO, Fra","Italian painter, Florentine",school,"b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma"
MASTER of the View of Ste Gudule,Flemish,painter,active c. 1480 in Brussels
"WYCK, Jan",Dutch,painter,"b. 1644, Haarlem, d. 1700, Mortlake"
GAROFALO,"Italian painter, Ferrarese",school,"b. 1481, Ferrara, d. 1559, Ferrara"
"FRACANZANO, Francesco",Italian,painter,"b. 1612, Monopoli, d. 1656, Napoli"
"ZOCCHI, Giuseppe",Italian,painter,"b. ca. 1717, Firenze, d. 1767, Firenze"
"KOBELL, Jan I",Dutch,engraver,"b. 1755, Delfshaven, d. 1833, Delfshaven"
"CIRCIGNANI, Niccolò",Italian,painter,"b. 1517/24, Pomarance, d. 1596, Citta di Pieve"
"VIGNALI, Jacopo",Italian,painter,"b. 1592, Pratovecchio, d. 1664, Firenze"
MASTER E.S.,German,engraver,active 1450-1467 Upper Rhine
